;;;Vínculo;;;;Escolaridade;;;;
Região;Porte;Total;Estatutários;CLT;Comissionados;Sem vínculo permanente;Sem instrução;Ensino fundamental;Ensino médio;Ensino superior;Pós-graduação
Brasil;Total;361582;79517;93918;24502;163645;24741;36515;147662;130243;22421
Brasil;1 - Até 5000;26117;8194;2176;3645;12102;1945;2405;10514;9914;1339
Brasil;2 - 5001 até 10000;30900;8486;2957;3745;15712;2148;2731;12574;11904;1543
Brasil;3 - 10001 até 20000;49258;11927;6861;4991;25479;3304;4205;20741;18328;2680
Brasil;4 - 20001 até 50000;67243;14561;13681;5533;33468;4331;6427;27565;24942;3978
Brasil;5 - 50001 até 100000;41024;9333;9982;2293;19416;3032;4390;16200;14856;2546
Brasil;6 - 100001 até 500000;79611;16875;26953;3110;32673;5306;8709;31503;28247;5846
Brasil;7 - Maior que 500000;67429;10141;31308;1185;24795;4675;7648;28565;22052;4489
1 - Norte;1 - Até 5000;1692;528;46;350;768;118;164;753;630;27
1 - Norte;2 - 5001 até 10000;1979;560;55;292;1072;118;145;906;760;50
1 - Norte;3 - 10001 até 20000;3349;822;232;439;1856;217;272;1650;1131;79
1 - Norte;4 - 20001 até 50000;4773;1164;223;493;2893;300;479;2224;1619;151
1 - Norte;5 - 50001 até 100000;3475;1015;105;257;2098;258;385;1657;1069;106
1 - Norte;6 - 100001 até 500000;3966;1351;129;176;2310;210;373;1879;1275;229
1 - Norte;7 - Maior que 500000;3378;1176;648;242;1312;127;286;1442;1111;412
2 - Nordeste;1 - Até 5000;4990;1087;182;804;2917;269;386;2473;1657;205
2 - Nordeste;2 - 5001 até 10000;8634;1825;326;1063;5420;488;683;4292;2771;400
2 - Nordeste;3 - 10001 até 20000;17940;3327;772;2101;11740;973;1312;9180;5771;704
2 - Nordeste;4 - 20001 até 50000;21649;3471;985;2231;14962;998;1559;10816;7340;936
2 - Nordeste;5 - 50001 até 100000;10397;1740;816;768;7073;624;809;4816;3649;499
2 - Nordeste;6 - 100001 até 500000;10633;1691;1175;650;7117;691;960;4819;3470;693
2 - Nordeste;7 - Maior que 500000;12573;1649;3217;365;7342;840;1310;5336;4183;904
3 - Sudeste;1 - Até 5000;7298;2052;1011;791;3444;576;659;2832;3001;230
3 - Sudeste;2 - 5001 até 10000;9871;2154;1720;947;5050;818;943;3716;4075;319
3 - Sudeste;3 - 10001 até 20000;14922;3219;3935;1103;6665;1228;1374;5443;6181;696
3 - Sudeste;4 - 20001 até 50000;25320;4642;9426;1368;9884;1988;2743;9171;10034;1384
3 - Sudeste;5 - 50001 até 100000;17851;3069;7188;653;6941;1490;2126;6413;6827;995
3 - Sudeste;6 - 100001 até 500000;45582;8241;19076;1456;16809;3068;5140;17597;16949;2828
3 - Sudeste;7 - Maior que 500000;34902;3383;20184;351;10984;2593;4147;15161;11204;1797
4 - Sul;1 - Até 5000;8825;3528;742;1059;3496;815;876;2995;3372;767
4 - Sul;2 - 5001 até 10000;7122;2831;640;866;2785;496;623;2355;3011;637
4 - Sul;3 - 10001 até 20000;8840;3094;1591;843;3312;557;837;2889;3575;982
4 - Sul;4 - 20001 até 50000;10615;3666;2459;834;3656;628;1112;3595;4047;1233
4 - Sul;5 - 50001 até 100000;6574;2536;1575;312;2151;429;751;2275;2339;780
4 - Sul;6 - 100001 até 500000;16554;5132;5925;323;5174;1124;1902;6139;5482;1907
4 - Sul;7 - Maior que 500000;8566;1790;4206;17;2553;603;1073;3384;2672;834
5 - Centro-Oeste;1 - Até 5000;3312;999;195;641;1477;167;320;1461;1254;110
5 - Centro-Oeste;2 - 5001 até 10000;3294;1116;216;577;1385;228;337;1305;1287;137
5 - Centro-Oeste;3 - 10001 até 20000;4207;1465;331;505;1906;329;410;1579;1670;219
5 - Centro-Oeste;4 - 20001 até 50000;4886;1618;588;607;2073;417;534;1759;1902;274
5 - Centro-Oeste;5 - 50001 até 100000;2727;973;298;303;1153;231;319;1039;972;166
5 - Centro-Oeste;6 - 100001 até 500000;2876;460;648;505;1263;213;334;1069;1071;189
5 - Centro-Oeste;7 - Maior que 500000;8010;2143;3053;210;2604;512;832;3242;2882;542
