"Região.x";"Porte.x";"Total";"Estatutários";"CLT";"Comissionados";"Sem vínculo permanente";"Sem instrução";"Ensino fundamental";"Ensino médio";"Ensino superior";"Pós-graduação"
"Brasil";"1 - Até 5000";27805;4377;769;1792;20867;1869;2335;11328;10838;1435
"Brasil";"2 - 5001 até 10000";31775;5121;860;1956;23838;1701;2516;13531;12610;1417
"Brasil";"3 - 10001 até 20000";46201;8028;1359;2675;34139;2394;3571;19913;18011;2312
"Brasil";"4 - 20001 até 50000";54661;11175;2303;3512;37671;2439;4004;22974;22314;2930
"Brasil";"5 - 50001 até 100000";28488;7949;1298;1332;17909;1273;2263;11173;11873;1906
"Brasil";"6 - 100001 até 500000";44383;16133;2169;2220;23861;1901;3231;16952;18168;4131
"Brasil";"7 - Maior que 500000";24507;9143;1396;917;13051;1087;1834;9882;9197;2507
"1 - Norte";"1 - Até 5000";1870;310;25;187;1348;157;171;832;685;25
"1 - Norte";"2 - 5001 até 10000";2220;367;40;205;1608;95;153;1073;848;51
"1 - Norte";"3 - 10001 até 20000";3596;521;79;303;2693;199;280;1737;1273;107
"1 - Norte";"4 - 20001 até 50000";5169;1013;96;267;3793;254;442;2508;1839;126
"1 - Norte";"5 - 50001 até 100000";3480;795;20;174;2491;229;391;1575;1182;103
"1 - Norte";"6 - 100001 até 500000";4058;1414;34;140;2470;193;381;1882;1394;208
"1 - Norte";"7 - Maior que 500000";2164;1142;72;137;813;95;162;914;714;279
"2 - Nordeste";"1 - Até 5000";5871;709;94;466;4602;247;411;2903;2054;256
"2 - Nordeste";"2 - 5001 até 10000";10316;1116;145;628;8427;458;693;5192;3585;388
"2 - Nordeste";"3 - 10001 até 20000";19975;2250;324;1290;16111;973;1419;9868;6919;796
"2 - Nordeste";"4 - 20001 até 50000";23000;2798;486;1487;18229;964;1463;11025;8631;917
"2 - Nordeste";"5 - 50001 até 100000";10183;1478;310;467;7928;432;753;4462;4069;467
"2 - Nordeste";"6 - 100001 até 500000";9253;1553;306;532;6862;459;697;4026;3356;715
"2 - Nordeste";"7 - Maior que 500000";7479;1844;299;322;5014;416;590;3049;2593;831
"3 - Sudeste";"1 - Até 5000";7344;1098;412;298;5536;511;608;2886;3058;281
"3 - Sudeste";"2 - 5001 até 10000";8883;1447;477;325;6634;504;711;3526;3858;284
"3 - Sudeste";"3 - 10001 até 20000";11352;2163;657;496;8036;607;891;4309;5065;480
"3 - Sudeste";"4 - 20001 até 50000";14282;3430;1310;797;8745;648;1003;5154;6710;767
"3 - Sudeste";"5 - 50001 até 100000";8873;2915;864;389;4705;379;636;3044;4202;612
"3 - Sudeste";"6 - 100001 até 500000";20444;7769;1380;897;10398;778;1346;7275;9271;1774
"3 - Sudeste";"7 - Maior que 500000";8780;2816;860;254;4850;387;702;3565;3331;795
"4 - Sul";"1 - Até 5000";9004;1672;166;445;6721;769;788;3089;3595;763
"4 - Sul";"2 - 5001 até 10000";6813;1506;144;360;4803;444;600;2303;2893;573
"4 - Sul";"3 - 10001 até 20000";7448;2012;234;295;4907;392;626;2484;3194;752
"4 - Sul";"4 - 20001 até 50000";7853;2594;359;450;4450;316;672;2712;3273;880
"4 - Sul";"5 - 50001 até 100000";4452;2180;66;141;2065;157;346;1545;1790;614
"4 - Sul";"6 - 100001 até 500000";8396;4855;416;167;2958;323;637;2946;3201;1289
"4 - Sul";"7 - Maior que 500000";2632;1659;66;NA;907;80;138;938;1150;326
"5 - Centro-Oeste";"1 - Até 5000";3716;588;72;396;2660;185;357;1618;1446;110
"5 - Centro-Oeste";"2 - 5001 até 10000";3543;685;54;438;2366;200;359;1437;1426;121
"5 - Centro-Oeste";"3 - 10001 até 20000";3830;1082;65;291;2392;223;355;1515;1560;177
"5 - Centro-Oeste";"4 - 20001 até 50000";4357;1340;52;511;2454;257;424;1575;1861;240
"5 - Centro-Oeste";"5 - 50001 até 100000";1500;581;38;161;720;76;137;547;630;110
"5 - Centro-Oeste";"6 - 100001 até 500000";2232;542;33;484;1173;148;170;823;946;145
"5 - Centro-Oeste";"7 - Maior que 500000";3452;1682;99;204;1467;109;242;1416;1409;276
NA;NA;257820;NA;NA;NA;NA;NA;NA;NA;NA;NA
