"Região.x";"Porte.x";"Total";"Estatutários";"CLT";"Comissionados";"Sem vínculo permanente";"Sem instrução";"Ensino fundamental";"Ensino médio";"Ensino superior";"Pós-graduação"
"Brasil";"1 - Até 5000";28881;4495;1187;1802;21397;2020;2473;11667;11206;1515
"Brasil";"2 - 5001 até 10000";34755;5433;2330;1978;25014;2081;2889;14379;13674;1732
"Brasil";"3 - 10001 até 20000";54499;8824;5971;2725;36979;3447;4702;22578;20715;3057
"Brasil";"4 - 20001 até 50000";72538;12129;13752;3558;43099;4374;6596;29337;28086;4145
"Brasil";"5 - 50001 até 100000";42656;8364;10414;1353;22525;2791;4423;16480;16211;2751
"Brasil";"6 - 100001 até 500000";83342;17083;28945;2301;35013;5057;8427;33085;30225;6548
"Brasil";"7 - Maior que 500000";73038;9861;38544;975;23658;4647;7985;30846;24213;5347
"1 - Norte";"1 - Até 5000";1870;310;25;187;1348;157;171;832;685;25
"1 - Norte";"2 - 5001 até 10000";2248;368;40;205;1635;95;155;1085;856;57
"1 - Norte";"3 - 10001 até 20000";3604;521;80;303;2700;204;280;1738;1275;107
"1 - Norte";"4 - 20001 até 50000";5210;1013;125;268;3804;254;447;2520;1855;134
"1 - Norte";"5 - 50001 até 100000";3631;817;61;174;2579;249;414;1643;1221;104
"1 - Norte";"6 - 100001 até 500000";4450;1473;188;141;2648;215;431;2064;1503;237
"1 - Norte";"7 - Maior que 500000";3358;1188;633;138;1399;145;273;1381;1085;474
"2 - Nordeste";"1 - Até 5000";5880;710;94;466;4610;247;412;2909;2055;257
"2 - Nordeste";"2 - 5001 até 10000";10335;1122;145;628;8440;461;695;5203;3588;388
"2 - Nordeste";"3 - 10001 até 20000";20107;2255;349;1290;16213;995;1443;9924;6944;801
"2 - Nordeste";"4 - 20001 até 50000";23937;2906;682;1488;18861;1065;1578;11462;8869;963
"2 - Nordeste";"5 - 50001 até 100000";11326;1562;754;471;8539;589;922;4921;4340;554
"2 - Nordeste";"6 - 100001 até 500000";11715;1700;1378;542;8095;709;999;5100;3999;908
"2 - Nordeste";"7 - Maior que 500000";14867;2072;4963;331;7501;943;1417;6131;4968;1408
"3 - Sudeste";"1 - Até 5000";7932;1137;677;300;5818;611;691;3082;3249;299
"3 - Sudeste";"2 - 5001 até 10000";10703;1574;1483;333;7313;770;952;4114;4483;384
"3 - Sudeste";"3 - 10001 até 20000";16826;2598;3836;538;9854;1367;1636;6192;6887;744
"3 - Sudeste";"4 - 20001 até 50000";26496;3901;9736;826;12033;1988;2816;9573;10690;1429
"3 - Sudeste";"5 - 50001 até 100000";18474;3113;7348;404;7609;1363;2060;6719;7248;1084
"3 - Sudeste";"6 - 100001 até 500000";46522;8170;20100;933;17319;2817;4810;18245;17440;3210
"3 - Sudeste";"7 - Maior que 500000";38082;2871;24695;269;10247;2615;4495;16648;12144;2180
"4 - Sul";"1 - Até 5000";9431;1741;308;453;6929;811;834;3204;3759;823
"4 - Sul";"2 - 5001 até 10000";7751;1649;561;366;5175;524;688;2497;3267;775
"4 - Sul";"3 - 10001 até 20000";9644;2303;1436;303;5602;585;894;3065;3917;1183
"4 - Sul";"4 - 20001 até 50000";11506;2855;2657;456;5538;659;1160;3854;4484;1349
"4 - Sul";"5 - 50001 até 100000";7267;2254;1998;142;2873;462;803;2477;2648;877
"4 - Sul";"6 - 100001 até 500000";17054;5011;6574;168;5301;1060;1797;6364;5875;1958
"4 - Sul";"7 - Maior que 500000";8183;1707;4707;6;1763;504;965;3272;2735;707
"5 - Centro-Oeste";"1 - Até 5000";3768;597;83;396;2692;194;365;1640;1458;111
"5 - Centro-Oeste";"2 - 5001 até 10000";3718;720;101;446;2451;231;399;1480;1480;128
"5 - Centro-Oeste";"3 - 10001 até 20000";4318;1147;270;291;2610;296;449;1659;1692;222
"5 - Centro-Oeste";"4 - 20001 até 50000";5389;1454;552;520;2863;408;595;1928;2188;270
"5 - Centro-Oeste";"5 - 50001 até 100000";1958;618;253;162;925;128;224;720;754;132
"5 - Centro-Oeste";"6 - 100001 até 500000";3601;729;705;517;1650;256;390;1312;1408;235
"5 - Centro-Oeste";"7 - Maior que 500000";8548;2023;3546;231;2748;440;835;3414;3281;578
NA;NA;389709;NA;NA;NA;NA;NA;NA;NA;NA;NA
