"Região.x";"Porte.x";"Total";"Estatutários";"CLT";"Comissionados";"Sem vínculo permanente";"Sem instrução";"Ensino fundamental";"Ensino médio";"Ensino superior";"Pós-graduação"
"Brasil";"1 - Até 5000";25214;8078;1774;3638;11724;1828;2269;10233;9603;1281
"Brasil";"2 - 5001 até 10000";28447;8241;1846;3729;14631;1798;2429;11904;11005;1311
"Brasil";"3 - 10001 até 20000";42066;11150;2997;4934;22985;2411;3235;18542;15828;2050
"Brasil";"4 - 20001 até 50000";50810;13455;3825;5461;28069;2486;3986;21924;19677;2737
"Brasil";"5 - 50001 até 100000";27556;8787;1932;2259;14578;1407;2228;11396;10833;1692
"Brasil";"6 - 100001 até 500000";42913;16014;2968;3018;20913;2058;3503;16563;17098;3691
"Brasil";"7 - Maior que 500000";25436;9563;1581;1141;13151;1230;2002;10745;9299;2160
"1 - Norte";"1 - Até 5000";1692;528;46;350;768;118;164;753;630;27
"1 - Norte";"2 - 5001 até 10000";1973;559;54;292;1068;118;145;904;758;48
"1 - Norte";"3 - 10001 até 20000";3343;822;232;439;1850;212;272;1649;1131;79
"1 - Norte";"4 - 20001 até 50000";4714;1164;185;489;2876;300;471;2209;1601;133
"1 - Norte";"5 - 50001 até 100000";3323;967;72;256;2028;240;354;1610;1029;90
"1 - Norte";"6 - 100001 até 500000";3604;1268;32;176;2128;187;325;1724;1171;197
"1 - Norte";"7 - Maior que 500000";2291;1150;126;241;774;97;167;1031;735;261
"2 - Nordeste";"1 - Até 5000";4980;1086;182;804;2908;269;385;2465;1657;204
"2 - Nordeste";"2 - 5001 até 10000";8597;1808;326;1063;5400;478;680;4275;2764;400
"2 - Nordeste";"3 - 10001 até 20000";17805;3324;751;2099;11631;955;1288;9114;5747;701
"2 - Nordeste";"4 - 20001 até 50000";20857;3378;864;2227;14388;895;1453;10442;7171;896
"2 - Nordeste";"5 - 50001 até 100000";9449;1670;470;763;6546;461;653;4421;3447;467
"2 - Nordeste";"6 - 100001 até 500000";8539;1562;344;640;5993;479;701;3863;2932;564
"2 - Nordeste";"7 - Maior que 500000";7107;1448;241;352;5066;403;616;3014;2516;558
"3 - Sudeste";"1 - Até 5000";6862;2021;788;787;3266;512;589;2685;2856;220
"3 - Sudeste";"2 - 5001 até 10000";8379;2038;956;936;4449;575;733;3262;3564;245
"3 - Sudeste";"3 - 10001 até 20000";10254;2744;1316;1063;5131;621;763;3930;4532;408
"3 - Sudeste";"4 - 20001 até 50000";13962;4016;2008;1319;6619;716;1060;5187;6286;713
"3 - Sudeste";"5 - 50001 até 100000";8626;2869;1165;646;3946;409;681;3076;3931;529
"3 - Sudeste";"6 - 100001 até 500000";20279;7815;1870;1386;9208;911;1527;7202;9069;1570
"3 - Sudeste";"7 - Maior que 500000";9284;3348;1076;345;4515;457;702;3911;3497;717
"4 - Sul";"1 - Até 5000";8421;3454;568;1057;3342;763;821;2891;3223;723
"4 - Sul";"2 - 5001 até 10000";6368;2767;352;863;2386;439;558;2193;2690;488
"4 - Sul";"3 - 10001 até 20000";6965;2879;573;837;2676;376;578;2396;2926;689
"4 - Sul";"4 - 20001 até 50000";7433;3422;623;827;2561;326;652;2622;3049;784
"4 - Sul";"5 - 50001 até 100000";4238;2455;179;309;1295;172;360;1531;1678;497
"4 - Sul";"6 - 100001 até 500000";8554;4949;634;322;2649;378;774;3047;3112;1243
"4 - Sul";"7 - Maior que 500000";3129;1762;63;8;1296;105;220;1283;1185;336
"5 - Centro-Oeste";"1 - Até 5000";3259;989;190;640;1440;166;310;1439;1237;107
"5 - Centro-Oeste";"2 - 5001 até 10000";3130;1069;158;575;1328;188;313;1270;1229;130
"5 - Centro-Oeste";"3 - 10001 até 20000";3699;1381;125;496;1697;247;334;1453;1492;173
"5 - Centro-Oeste";"4 - 20001 até 50000";3844;1475;145;599;1625;249;350;1464;1570;211
"5 - Centro-Oeste";"5 - 50001 até 100000";1920;826;46;285;763;125;180;758;748;109
"5 - Centro-Oeste";"6 - 100001 até 500000";1937;420;88;494;935;103;176;727;814;117
"5 - Centro-Oeste";"7 - Maior que 500000";3625;1855;75;195;1500;168;297;1506;1366;288
NA;NA;242442;NA;NA;NA;NA;NA;NA;NA;NA;NA
