"UF";"2013";"2015";"2017"
"AC";517;672;718
"AL";1797;2839;3408
"AM";1405;2530;2544
"AP";282;323;380
"BA";8000;11795;12339
"CE";7085;8893;9786
"DF";1226;1048;980
"ES";3206;4417;4230
"GO";3773;6430;6645
"MA";4313;7295;8369
"MG";12343;16793;17676
"MS";2900;3896;4047
"MT";3045;3509;3504
"PA";5942;7355;7923
"PB";2639;4431;5178
"PE";4250;8146;8861
"PI";2779;4119;4689
"PR";8038;11108;11416
"RJ";9617;11242;10468
"RN";2335;4084;4468
"RO";878;1157;1121
"RR";679;834;865
"RS";7848;9552;9482
"SC";4197;6246;6031
"SE";1916;2813;3132
"SP";15108;21117;22050
"TO";1707;2109;2537
