"municipiouf";"2013";"2015";"2017"
"Rio de Janeiro, RJ";2415;2849;2356
"São Paulo, SP";822;1270;1299
"Fortaleza, CE";1035;1314;1295
"Curitiba, PR";1111;1062;1005
"Recife, PE";343;872;993
"Brasília, DF";1045;1048;980
"Porto Alegre, RS";943;1364;948
"Campo Grande, MS";611;915;947
"Campos dos Goytacazes, RJ";20;341;825
"Belém, PA";894;764;798
"Goiânia, GO";603;885;699
"Salvador, BA";242;624;675
"São Luís, MA";553;643;672
"Teresina, PI";282;649;659
"Natal, RN";190;497;645
"Manaus, AM";308;723;640
"Belo Horizonte, MG";424;735;606
"Boa Vista, RR";435;624;599
"Aracaju, SE";467;616;580
"Maceió, AL";269;526;532
"Cuiabá, MT";632;533;522
"Vitória, ES";249;532;521
"Caxias, MA";82;388;503
"João Pessoa, PB";170;449;483
"Santos, SP";200;424;471
"Florianópolis, SC";160;470;426
"Imperatriz, MA";127;367;416
"Caruaru, PE";232;366;390
"Campinas, SP";393;437;388
"Feira de Santana, BA";196;289;361
"Campina Grande, PB";137;271;351
"São Gonçalo, RJ";233;378;341
"Parnamirim, RN";108;265;333
"Maringá, PR";186;302;331
"Montes Claros, MG";193;373;330
"Uberlândia, MG";76;385;327
"Santarém, PA";122;194;323
"São José dos Campos, SP";24;133;322
"Ananindeua, PA";178;434;319
"Cascavel, PR";159;368;314
"Porto Velho, RO";157;301;311
"Duque de Caxias, RJ";153;214;306
"Juazeiro do Norte, CE";153;187;306
"Osasco, SP";339;334;306
"Guarulhos, SP";287;291;298
"Maracanaú, CE";240;265;293
"Niterói, RJ";154;278;292
"Praia Grande, SP";112;225;290
"Serra, ES";163;234;288
"Volta Redonda, RJ";226;353;286
"Palhoça, SC";81;268;284
"Cabo Frio, RJ";179;245;282
"Pelotas, RS";211;235;276
"Ribeirão Preto, SP";196;361;271
"Londrina, PR";203;302;266
"Contagem, MG";182;274;260
"Jaboatão dos Guararapes, PE";9;110;260
"São José do Rio Preto, SP";179;343;259
"Três Lagoas, MS";125;231;255
"Rio Branco, AC";201;260;252
"Caucaia, CE";213;158;250
"Blumenau, SC";118;229;248
"São Bernardo do Campo, SP";48;191;244
"Linhares, ES";210;255;243
"Itaguaí, RJ";231;253;242
"Limeira, SP";109;241;242
"Toledo, PR";82;206;242
"Taboão da Serra, SP";185;213;241
"Vitória da Conquista, BA";127;266;239
"Mauá, SP";178;199;229
"Lages, SC";156;218;227
"Cariacica, ES";133;275;226
"Rio das Ostras, RJ";NA;33;226
"Ilhéus, BA";60;278;225
"Itu, SP";132;212;225
"Joinville, SC";140;254;225
"Presidente Prudente, SP";112;183;223
"Timon, MA";87;192;221
"Cabo de Santo Agostinho, PE";94;176;219
"Parauapebas, PA";183;181;217
"Mossoró, RN";184;292;215
"Betim, MG";89;247;214
"Marabá, PA";151;166;214
"São José dos Pinhais, PR";23;86;214
"Abaetetuba, PA";204;186;211
"Parnaíba, PI";61;150;211
"Passo Fundo, RS";129;196;211
"Guarapuava, PR";125;181;210
"Jaraguá do Sul, SC";102;223;210
"Angra dos Reis, RJ";NA;65;207
"Chapecó, SC";67;178;207
"Senhor do Bonfim, BA";47;111;206
"Uberaba, MG";92;208;197
"Barueri, SP";124;122;196
"Embu das Artes, SP";4;35;193
"São Carlos, SP";58;88;193
"Araçatuba, SP";84;197;191
"Palmas, TO";232;190;189
"Castanhal, PA";166;196;188
"Colombo, PR";82;275;188
"Foz do Iguaçu, PR";78;124;188
"Garanhuns, PE";78;170;188
"Quixeramobim, CE";69;166;188
"Colatina, ES";104;177;187
"Gravataí, RS";127;206;183
"Santana de Parnaíba, SP";138;249;183
"Vila Velha, ES";115;229;182
"Jequié, BA";45;216;181
"Macaé, RJ";194;227;181
"Rio Grande, RS";71;119;180
"Cachoeiro de Itapemirim, ES";96;153;179
"Dourados, MS";127;138;179
"Aparecida de Goiânia, GO";71;142;178
"Araraquara, SP";158;216;178
"Guarujá, SP";111;179;177
"Mangaratiba, RJ";120;148;177
"Olinda, PE";186;266;176
"Caraguatatuba, SP";86;136;174
"São Vicente, SP";142;257;173
"Sete Lagoas, MG";97;179;173
"Jacareí, SP";101;172;171
"Ponta Grossa, PR";118;226;170
"Açailândia, MA";53;114;168
"Iguatu, CE";123;142;167
"Juiz de Fora, MG";150;184;167
"Mariana, MG";73;100;167
"Altamira, PA";39;156;166
"Corumbá, MS";133;168;166
"Taubaté, SP";56;119;165
"Pouso Alegre, MG";127;157;161
"Arapiraca, AL";99;177;160
"Governador Valadares, MG";61;147;160
"Mogi das Cruzes, SP";14;64;160
"Sobral, CE";127;129;159
"Caxias do Sul, RS";83;150;158
"Itumbiara, GO";55;151;158
"Piracicaba, SP";90;171;158
"Resende, RJ";121;170;158
"Birigui, SP";60;142;154
"Santo André, SP";82;154;153
"Belford Roxo, RJ";119;211;152
"Magé, RJ";99;130;151
"Paulista, PE";66;157;151
"Rio Verde, GO";58;135;151
"Várzea Grande, MT";146;182;151
"Camaquã, RS";157;147;150
"Itajaí, SC";77;165;149
"Anápolis, GO";28;253;146
"Passira, PE";NA;23;145
